Yorum;Sahte [0] / Gerçek [1];urun
ah ben nasıl bu yorumları okumadan aldım bu hataya nasıl düştüm bideyırtık açık ambalaj yıpranmış kargo poşeti bile yoktu oğlum almışkargoyu yoksa ben kabul etmezdim tutanak tuttururdum almayın derim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
idare eder çok kaliteli bı ürün degil;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
1 defa kullanıldı sonra bozuldu düğmeye basmadan ısınıyor kokularyükseliyor kul hakkına meraklı bir firma belli oldu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
ürün guzeldi ama bazi yerlerde cizijler vardı ve cezvenin kolu sakkaniyordu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Çok basitmiş 4 kullanışta bozuldu teknik servise verdim bakalım sonuç neçıkacak iade mi değişim mi!!!;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürünü alalı 6 ay olmasına rağmen bozuldu kaynatmiyor kahveyi.. Ilitipkapatıyor oyuzden hayal kırıklığı oldu benim için ilk zamanlarda biproblem yoktu hicbirsekilde suyla yıkamama rağmen çok hızlı bozuldu.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
ÜRÜN BOZUK GELDİ.TAVSİYE ETMİYORUM.ELEKTRİKLİ ÜRÜN DİYE İADE ALMIYORLAR;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Kablosu çok kısa ama güzel beğendim.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Est Home satıcısından almış olduğumuz rose gold renkte kahve makinasınınilki kırık geldi, ikincisi bozuk geldi. Satıcı ile iletişimkurulamamakta. Yorumlarda yazan ısıtmıyor, buz gibi yapıyor ve geçpişiriyor yazan hepsi doğru, ilk başta herkesin aynı değildir diyedüşündüm fakat herkesin aynı sorunu varsa üründe ve satıcıda problemvar. ;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
gerçekten harika bir ürün kahvesi çok güzel oluyor sıcak ve köpüklüoluyor çok tereddüt ederek almıştım ama iyikide almışım sadece birazdaha özenli paketlenebilir;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürünü aldım bir kere kullandım ikinci de arıza yaptı nasıl iyadeedeceğim bilemiyorum süresi dolmuş ben iade etmek istiyorum dahainternette bir şey almam arıza oldu mu ya da edemiyorsun;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Harika kaliteli ağır bir model çok çabuk kaynatıyor iyi köpük çıkarıyortavsiye ediyorum;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kırık geldi malesef deyişim talep ediyorum;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
anneme aldım ama içinde ölçüm için demir var ama yıkama esnasındaelimize bata bilirr;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Çok kullanamadım hemen bozuldu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel kahvesini yaptık begendik;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok memnun kalmadık kahve soğuk pişiyor;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
gayet başarılı bu fiyata bu kadar otomatik olması çok bile annemealmıştım , şimdi kendime sipariş vereceğim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
bu fiyata bu perfonmans muhteşem;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok çok uyguna aldım rengi kalitesi çok güzel geldi bir bir resimdekigibi kesinlikle güvenerek alabilirsiniz;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
İdare eder yani aşırı bir performans beklememek lazım. Biraz köpürtmekonusunda da sıkıntılı;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Kahve tiryakisi kardeşim için aldm ama memnun kalmadı iki defaçalıştırabildi sadece fiyat performans olarak bir beklentiye girdim amahayal kırıklığı;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
pf ürünü durusu diğer kahve makinelerine göre kibar;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kaynamadan mavi ışık yanıyor bozuk ürün gönderilmiş iade oluşturdumumarım iade kabul edilir teknomx den aldım;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Yaklaşık 6 ay önce kızımın çeyizine kahve makinası ı aldım güzelgörünüyordu çeyize kaldırdım sonra aynı makina dan kendime aldımkargodan geldi hemen aynı gün içinde kullanmak istedim ışıklar arızagösterdi hemen kargoya verdik iade aldılar hemen çeyizdekini çıkardım 5kez kahve yaparken aynı arızayı verdi sadece 4 kez kahve yapabildikbildirdik sorunu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
1 ay kullandım bozuldu. tabanından duman geldi. servise gönderdim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Garanti belgesiyle birlikte geldi başarılı bir ürün;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
ürünüm geldi çok güzel kahve hem köpüklü hemde sıcak tam istediğimizgibi geldi anneme aldım gayet güzel tek sıkıntı hiç ambalajlanması geldikutusu falan hep kırıktı;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
idare eder bir urun iki fincandan sonra tasiyor;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün çok iyi kahveyi bayaaa sıcak yaptı şuanlık bir sıkıntısı yok;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kalitesi hic guzel değil. alali 5 ay oldu 15-20 sefer kullanmadansensörü arızalandı. su kaynamadan kendini kapatıyor.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok iyi bir ürün arkadaşımın tavsiyesi üzerine aldım satıcıya ayrıteşekkür ediyorum. tavsiye ederim kullandım gğzel;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Soguk kahve yapıyo hiç menmun kalmadım almayın tabsiye etmiyorum;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Makineyi çok beğendim içinde ışığı bile yanıyor kendinden otomatikkapanıyor türk kahvesi yapmama rahmet çok güzel köpük yaptı. Almakisteyen herkes tereddüt etmeden alsınlar ;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
1 ay kullandım şimdi alt haznesi kaynatmaya yapmıyor;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Almış kahve makinesi suyu kaynatmıyor kahveler soguk oluyor;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
idare eder aşırı sıcak değil malesef,anneme almıştım ama daha iyi birsey alabilirmisim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
asla kaynatmıyor bundan kaynaklı iade talebi olusturup gönderdik hicbirsorunu olmadığını söyleyip tekrar bize gönderdiler. ama aldıgımızdanberi kullanamıyoruz öyle duruyor tekrar da iade kabul edilmiyor cokpismanım aldıgım icin.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
3 aylık kullanımda bozuldu gitti.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
almayın kesinlikle bizimki sigorta attırdı geri iade ettim birde kabuletmiyorlar kullanmadan bunu bilemeyiz iyi mi kötümü yok neymişkullanmadan iade olacakmış çok saçma ya sakin almayın sakinnnnnnn;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kahve çok güzel yapıyor bol köpüklü tavsiye ediyorum kahveyi az dakoysan çok lezzetli yorumlarda yok ısıtmıyor güzel değil diyenlereitibar etmeyiniz ürün güzeldir piyasanin altında fiyatı uygun çok iyi;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
fatura gondermemisler ürünüm bozuldu garanti kapsaminda yapmiyorlarkimse almasin;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Kargo baya geç geldi daha kullanmadım kullanınca guncellicem suanliksağlam geldi;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
hiç birşeye yaramaz sakın almayın kaynatmıyor kahveyi buz gibi bidehiçbir şekilde ilgilenilmiyor ürünün faturası bile açılmıyor kigarantiye gönderelim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün fiyatına göre iyi belki biraz daha sıcak yapabilirdi ama hiç sıcakdeğil diyemem. Fiyatın göre iyi ürün haznesi de baya büyük. Günlükkullanım için ideal.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Henüz kullanmadım o yüzden bir yıldız eksik verdim görünüşte güzelgözüküyor çeyizim için aldım;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
3 gün çalıştı fişe taktığımda sigorta atıyor pişirmeden kapatıyorkendini yani asla tavsiye etmem almayın paranıza yazık çöpe attım;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
tam bir fiyat performans ürünü kahve kalitesi güzel 322 TL. otomatik birmakine. sesli ve ışıklı uyarı büyük kapasite cezvesi harika uzunkullanım sağlarmı kullanıp göreceğiz.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kahveyi ilk pisirmemde i. sonra ki yaptiklarimin hic birini dekaynatmadi. kahve bildigin soguk. kapatip yenidrn aciyorum tekrardanalgilasin diye onu da yapmiyor. tamamen vasat. iki tane almistim. amatam bi fiyasko.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürünü sipariş ederken baya tedirgin oldum. Herhangi bir sorun çıkmadıneyse ki. Fakat paketleme diye bir çaba yoktu. Sadece kutusuylayollamıştı. Ürüne bir şey olmaması benim şanslı bir insan olmamlaalakalı galiba;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün kullanılmış geldi kahve kokuyor iade etmek istiyorum yardımcıolursanız sevinirim.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
ürün sık ama kalitesi iyi degillll arkadaşlar tavsiye etmiyorumgunderdim kalitesini beğenmedim bana geri gönderdiler kargoyu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel kullanımı kolay iş görür beklentiniz çoksa karsilamaz çok kalitelidegil ama fiyat performans ürünü tavsiye ederim.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok çabuk bozuldu;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
5 yıldız koydum yorum usta olsun Ürün kalitesiz ve kahve yapamıyor yeminederim içemedim çöpe döktüm kahve hiç kaynatma olmuyor kahve soğuk kaldıben iade için gönderdim ama bana aradılar iade kabul etmiyoruz dedi benbu ürünü istemiyorum paramı geri gönderin acilen;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Köpürtmüyor demeyin türk kahvesi ve dibek hariç içerisinde birşeykaynatmaya çalışmayın çok güzel;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürünün duruşu şekli şemali gayet güzel ama kahveyi pisirip hazir sesigelene kadar kahve bildigin kayniyo ve köpük gidiyo o yuzden kahvekopuksuz oluyo ben kopuksuz sevemiyorum pahalı makinelerdede okudugu bitçok yorumda köpüksüz diyorlar vallaha anlamadim eski kara düzen cezveyedevam edicez galiba;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
meraba kahve makinam kenarlari çizikler icinde geldi ne yapmam lazimilgilenirmisiniz lutfen;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
kahve ile su birbirine özlesmeden kısacası kahve pismeden bittigöstergesi oluyor asla almayin buz gibi kahve içmek isteyen alsin;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
İlk defa denedim hem hızlı yaptı hem köpüklü,çok memnun kaldım.diğermakinalara göre de fiyatı baya uygun,inş çabuk bozulmaz;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel iş goruyo gold rengi sipariş verdim lacivert geldi o yüzden 3yıldız verdim;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
gayet güzel beğendim pahalı almaya gerek yok..;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok beğendim fiyatina göre çok idela biraz soğuk yapıyor onun dışındasorun yok tasma emineyi var o yüzden tasmiyor;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
urun elime geldigi gibi iade ettim. cezvesinden su akitiyordu. firmailgili oldugu icin cok tesekkur ederi. firmanin ilgisinden dolayi +1yildiz verdim.;1;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel bir ürün elime sağlam bir şekilde ulaştı;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Bence Alınmaz;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Gayet güzel.f/p ürünü;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Çok güzel bayıldımmmmmmm;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Gayet iyi teslimat hızlı.;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün çok ama çok iyi;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Harika ürün;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Çok kullanışlı, performans süper..;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
daha denemedim ama güzel gorunuyor .;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün güzel çok hızlı ulaştı teşekkür ederiz;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Gayet iyi geldi çalışıyor sağlam ulaştı;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
annem için aldım çok güzel;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Muhteşem ötesi alın aldırın;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Güzel bayıldık;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
çok kötü aldım hemen iade ettim;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
makina çok güzel ışıklı olması ayrı iyi;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Beklediğimizden daha iyi geldi tam bir f-p ürünü;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
sorunsuz geldi iyiydi;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Güzel bir ürün;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel beğendim;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
güzel ürün beğendim;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
asiri güzel bence öyle lüks markalara para vermeyin bosa;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
mükemmel bir ürün , tavsiye ederim coook.. kaliteli şık ve uygun fiyat ;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Gayet güzel paketlenmişti elime çabuk ulaştı;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün beklediğim gibi değil iade ettim;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Süper 3 aydır kullanıyorum;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Tek kelime ile harika ;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
fiyata göre iyi;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Ürün hizli şekilde elime geldi çok beyendim;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
Fiyat kalite performansı fena değil .;0;AWOX Rosegold -mavi Kafija Kahve Makinesi
